,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
694,FL,Median Income,14414,Feat\&BG-RGNN,4,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
695,FL,Median Income,14414,Feat\&BG-RGNN,5,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
696,FL,Median Income,14414,Feat\&BG-RGNN,6,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
697,FL,Median Income,14414,Feat\&BG-RGNN,7,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
698,FL,Median Income,14414,Feat\&BG-RGNN,8,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
699,FL,Median Income,14414,Feat\&BG-RGNN,9,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
700,FL,Median Home Value,14074,Emb,0,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
701,FL,Median Home Value,14074,Emb,1,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
702,FL,Median Home Value,14074,Emb,2,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
703,FL,Median Home Value,14074,Emb,3,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
704,FL,Median Home Value,14074,Emb,4,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
705,FL,Median Home Value,14074,Emb,5,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
706,FL,Median Home Value,14074,Emb,6,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
707,FL,Median Home Value,14074,Emb,7,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
708,FL,Median Home Value,14074,Emb,8,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
709,FL,Median Home Value,14074,Emb,9,0.24420604358177567,0.24343176717687726,0.16741883080301792,0.2537044194938636
710,FL,Median Home Value,14074,LightGCN,0,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
711,FL,Median Home Value,14074,LightGCN,1,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
712,FL,Median Home Value,14074,LightGCN,2,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
713,FL,Median Home Value,14074,LightGCN,3,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
714,FL,Median Home Value,14074,LightGCN,4,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
715,FL,Median Home Value,14074,LightGCN,5,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
716,FL,Median Home Value,14074,LightGCN,6,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
717,FL,Median Home Value,14074,LightGCN,7,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
718,FL,Median Home Value,14074,LightGCN,8,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
719,FL,Median Home Value,14074,LightGCN,9,0.22595157329329965,0.22240590352988837,0.15433530186625224,0.23124001889940346
720,FL,Median Home Value,14074,RGNN,0,0.23447044475792453,0.22973554774134766,0.15235956823054747,0.24501302506843664
